cid	sid	ch	det	id	a0	a1	a2	beta	radian
1	4	13	35	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	4	14	36	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	4	15	-1	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	5	0	37	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	5	1	38	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	5	2	39	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	5	3	40	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	5	4	41	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	5	5	42	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	5	6	43	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	5	7	44	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	5	8	45	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	5	9	-1	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	5	10	47	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	5	11	48	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	5	12	49	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	5	13	50	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	5	14	51	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	5	15	52	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	6	0	53	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	6	1	54	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	6	2	55	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	6	3	56	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	6	4	57	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	6	5	58	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	6	6	59	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	6	7	60	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	6	8	61	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	6	9	62	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	6	10	63	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	6	11	64	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	6	12	65	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	6	13	66	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	6	14	-1	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	6	15	-1	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	7	0	67	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	7	1	68	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	7	2	69	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	7	3	70	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	7	4	71	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	7	5	72	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	7	6	73	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	7	7	74	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	7	8	75	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	7	9	76	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	7	10	77	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	7	11	78	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	7	12	79	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	7	13	80	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	7	14	-1	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	7	15	-1	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	8	0	81	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	8	1	82	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	8	2	83	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	8	3	84	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	8	4	85	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	8	5	86	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	8	6	87	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	8	7	88	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	8	8	89	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	8	9	90	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	8	10	-1	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	8	11	-1	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	8	12	-1	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	8	13	-1	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	8	14	46	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	8	15	-1	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	9	0	100	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	9	1	101	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	9	2	102	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	9	3	103	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	9	4	104	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	9	5	105	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	9	6	106	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	9	7	107	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	9	8	108	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	9	9	109	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	9	10	110	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	9	11	111	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	9	12	112	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	9	13	113	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	9	14	114	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	9	15	115	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	10	0	-1	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	10	1	-1	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	10	2	-1	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	10	3	-1	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	10	4	-1	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	10	5	-1	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	10	6	-1	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	10	7	-1	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	10	8	118	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	10	9	119	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	10	10	120	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	10	11	121	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	10	12	122	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	10	13	123	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	10	14	124	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	10	15	125	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
